quadrant,year,kernel,n_eff_global,noise_frac,n_noisy,T_log,Regime
SE,2005,EMA_alpha0.5,8,-0.01,8,0.0,Equilibrium
SE,2005,EMA_alpha0.5,8,0.05,8,0.0,Equilibrium
SE,2005,EMA_alpha0.5,8,-0.05,8,0.0,Equilibrium
SE,2005,EMA_alpha0.5,8,0.1,9,0.0,Equilibrium
SE,2005,EMA_alpha0.5,8,-0.1,7,0.0,Equilibrium
SE,2005,EMA_alpha0.5,8,0.2,10,0.0,Equilibrium
SE,2005,EMA_alpha0.5,8,-0.2,6,0.0,Equilibrium
SE,2005,Boxcar_W5,8,0.01,8,0.0,Equilibrium
SE,2005,Boxcar_W5,8,-0.01,8,0.0,Equilibrium
SE,2005,Boxcar_W5,8,0.05,8,0.0,Equilibrium
SE,2005,Boxcar_W5,8,-0.05,8,0.0,Equilibrium
SE,2005,Boxcar_W5,8,0.1,9,0.0,Equilibrium
SE,2005,Boxcar_W5,8,-0.1,7,0.0,Equilibrium
SE,2005,Boxcar_W5,8,0.2,10,0.0,Equilibrium
SE,2005,Boxcar_W5,8,-0.2,6,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,0.01,9,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,-0.01,9,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,0.05,9,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,-0.05,9,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,0.1,10,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,-0.1,8,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,0.2,11,0.0,Equilibrium
SE,2006,EMA_alpha0.5,9,-0.2,7,0.0,Equilibrium
SE,2006,Boxcar_W5,9,0.01,9,0.0,Equilibrium
SE,2006,Boxcar_W5,9,-0.01,9,0.0,Equilibrium
SE,2006,Boxcar_W5,9,0.05,9,0.0,Equilibrium
SE,2006,Boxcar_W5,9,-0.05,9,0.0,Equilibrium
SE,2006,Boxcar_W5,9,0.1,10,0.0,Equilibrium
SE,2006,Boxcar_W5,9,-0.1,8,0.0,Equilibrium
SE,2006,Boxcar_W5,9,0.2,11,0.0,Equilibrium
SE,2006,Boxcar_W5,9,-0.2,7,0.0,Equilibrium
SE,2007,EMA_alpha0.5,23,0.01,23,0.0,Equilibrium
SE,2007,EMA_alpha0.5,23,-0.01,23,0.0,Equilibrium
SE,2007,EMA_alpha0.5,23,0.05,24,0.0,Equilibrium
SE,2007,EMA_alpha0.5,23,-0.05,22,0.0,Equilibrium
