b,levina_mle,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,d_s
50,7.918341991999484,0.4,59,True,0.2549702337382738,0.03304479381141309,0.5099404674765476
51,7.877699434195957,0.1,8,True,0.10956872937918748,0.025133429234137077,0.21913745875837495
51,7.877699434195957,0.2,16,True,0.1520254080777103,0.029135461510589784,0.3040508161554206
51,7.877699434195957,0.4,57,True,0.26479610100879586,0.034111713638214934,0.5295922020175917
52,7.890868725343124,0.1,8,True,0.10075912229946014,0.023886811212971926,0.2015182445989203
52,7.890868725343124,0.2,18,True,0.14778602725895304,0.02827415774483669,0.2955720545179061
52,7.890868725343124,0.4,59,True,0.24820501881573245,0.032331064576349114,0.4964100376314649
53,7.948769443940886,0.1,8,True,0.10661593510124291,0.024785883702394373,0.21323187020248582
53,7.948769443940886,0.2,16,True,0.14808473495639704,0.02858242187177044,0.2961694699127941
53,7.948769443940886,0.4,60,True,0.26341794742644037,0.033563450793548825,0.5268358948528807
54,7.960678417037432,0.1,8,True,0.0976021375471903,0.02351031370159004,0.1952042750943806
54,7.960678417037432,0.2,16,True,0.13574514417521802,0.02727142861630991,0.27149028835043604
54,7.960678417037432,0.4,58,True,0.23864551209318127,0.03200161840247246,0.47729102418636254
55,7.95531831729205,0.1,8,True,0.10469187267891879,0.024503615617338253,0.20938374535783758
55,7.95531831729205,0.2,17,True,0.14953641985022728,0.02865833512181675,0.29907283970045456
55,7.95531831729205,0.4,56,True,0.2519956756259568,0.03298698665195726,0.5039913512519136
