series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,132,6,unknown,12,13,1.7768793398359854,1.6981774610373341,0.21950740579723665,1.44774467025161,1.6735323722492816,1.9888844481676127,1000
S0,132,6,unknown,13,13,1.7768793398359861,1.7013108044646266,0.2085653514124736,1.4617394277518136,1.6801495816840328,1.9568616624648898,1000
S0,132,6,unknown,14,13,1.7768793398359868,1.7084566863276551,0.23238005949086218,1.4525961171475457,1.6809245687533367,1.9971441748858618,1000
S0,132,6,unknown,15,13,1.7768793398359872,1.7048329105941549,0.2105617863589568,1.4670244342625087,1.6814297362378858,1.9605554777567107,1000
S0,132,6,unknown,16,13,1.7768793398359872,1.6932093172444453,0.21198943616106333,1.4501088741612642,1.6721616490820552,1.9543585537582069,1000
S0,132,6,unknown,17,13,1.7768793398359872,1.701336538272974,0.22233740407717398,1.464911538062101,1.6815183234372855,1.9478035816372128,1000
S0,132,6,unknown,18,13,1.7768793398359872,1.6962942974146842,0.21785689890601254,1.4534423567051544,1.6717691190148325,1.9718366854068394,1000
S0,132,6,unknown,19,13,1.7768793398359872,1.6998204177500003,0.21602065447808094,1.4511038547396788,1.6732459787149527,1.9876197540169753,1000
S0,132,6,unknown,20,13,1.7768793398359872,1.6922560654622252,0.22146158527435822,1.4401440984850342,1.6559444780040244,1.9856439284743386,1000
S0,132,12,declining,5,123,2.036704649269363,2.0445421679499023,0.10002534642741195,1.9169506828214784,2.044904608912946,2.1735749715977795,1000
S0,132,12,declining,6,123,2.0877397488639775,2.1033145401013535,0.10487417131184769,1.9711946620837733,2.098188354683648,2.2378599070151313,1000
S0,132,12,declining,7,123,2.129318559922706,2.156615619638455,0.11015842771967387,2.0189672247925468,2.1524245450131927,2.302569834612757,1000
S0,132,12,declining,8,123,2.165239107023326,2.2083679370090565,0.11058554131502642,2.0664933180122413,2.2050080188059855,2.3546292721167736,1000
S0,132,12,declining,9,123,2.199565928200501,2.238977994141804,0.11450385970487076,2.0957069434833144,2.2375227692093214,2.3853690669487695,1000
S0,132,12,declining,10,123,2.23050136312027,2.285600229393893,0.12197571605002047,2.1261359667403346,2.282898483832206,2.4514886141209216,1000
S0,132,12,declining,11,123,2.259409000631528,2.320947903416073,0.12400088936778539,2.166454317756042,2.3169497407715256,2.480180578561478,1000
S0,132,12,declining,12,123,2.2873397935892696,2.349528697220564,0.1266716595256965,2.185922011230542,2.3436849988443242,2.5152814447592187,1000
S0,132,12,declining,13,123,2.3137958609094182,2.383160953122342,0.12390808974461057,2.225071300984416,2.379723097921152,2.5454834742911503,1000
S0,132,12,declining,14,123,2.3375923631573388,2.4086338758727353,0.126585164340215,2.2511053418793945,2.400910494162569,2.569324646406491,1000
S0,132,12,declining,15,123,2.3612093060743278,2.436530711448784,0.13358915313844288,2.2683702333844264,2.432906133821113,2.610573377945734,1000
S0,132,12,declining,16,123,2.3835517603157164,2.461525593052739,0.1323430289142126,2.301834559965411,2.4574843271361972,2.6260492278748915,1000
S0,132,12,declining,17,123,2.4056245016304683,2.4865877631695126,0.13910358926523828,2.3058921661710334,2.478796983862562,2.6677449307726318,1000
S0,132,12,declining,18,123,2.4268317939119135,2.511807832317205,0.1440303156638324,2.3393335775789206,2.4972794557641427,2.703160351361395,1000
S0,132,12,declining,19,123,2.4469995672272495,2.5321245240472043,0.1440859748678152,2.350129248078775,2.5293443770521327,2.7203783754846653,1000
S0,132,12,declining,20,123,2.466694009825783,2.544919326846715,0.14315441730681244,2.361160183953201,2.5380211788964955,2.73443361530235,1000
S0,132,12,min,5,24,2.8860913371826165,3.063788911695369,0.3895864101474913,2.5665160121666615,3.0578575890039152,3.5773427092862375,1000
S0,132,12,min,6,24,3.165570389481547,3.3773611360590214,0.4517538730338488,2.787733202745212,3.3650017673130628,3.9664281657279528,1000
S0,132,12,min,7,24,3.440984166873298,3.681830767831493,0.5034331778641897,3.044986855366192,3.6691548412822605,4.342085988696919,1000
S0,132,12,min,8,24,3.695512518549644,3.8773905775520086,0.5443261017267755,3.1562427023798727,3.8906695384962697,4.563606854296984,1000
S0,132,12,min,9,24,3.941796455897416,4.089879912706904,0.5780605595636712,3.3520825890053603,4.075819149220177,4.8457433251451905,1000
S0,132,12,min,10,24,4.186522287572879,4.286706450118445,0.6077627966317846,3.5165784064657,4.2783101663818,5.070599788736186,1000
S0,132,12,min,11,24,4.411341445121278,4.444338046395777,0.6789989414474976,3.5539420566932796,4.415352298090678,5.3271964130830725,1000
S0,132,12,min,12,24,4.577668833363169,4.5596608618232315,0.6689873711311801,3.6802941746296414,4.536357537194549,5.445663544382465,1000
S0,132,12,min,13,24,4.734212948986551,4.611418102917873,0.6728091723372076,3.718482535432566,4.5892068019109855,5.463841830186576,1000
S0,132,12,min,14,24,4.876515011395011,4.637401322461539,0.7285624875853901,3.649724244796712,4.631140496696108,5.574186452103149,1000
